field,year,count
astro-ph,00,7019
astro-ph,01,7608
astro-ph,02,7843
astro-ph,03,8840
astro-ph,04,9254
astro-ph,05,9786
astro-ph,06,10372
astro-ph,07,11344
astro-ph,08,11243
astro-ph,09,12481
astro-ph,10,13118
astro-ph,11,13669
astro-ph,12,13843
astro-ph,13,14219
astro-ph,92,121
astro-ph,93,613
astro-ph,94,1226
astro-ph,95,1910
astro-ph,96,2688
astro-ph,97,3917
astro-ph,98,5314
astro-ph,99,6239
cond-mat,00,6585
cond-mat,01,7628
cond-mat,02,8391
cond-mat,03,9104
cond-mat,04,9829
cond-mat,05,10258
cond-mat,06,10229
cond-mat,07,10406
cond-mat,08,11344
cond-mat,09,11417
cond-mat,10,13089
cond-mat,11,13971
cond-mat,12,14804
cond-mat,13,15375
cond-mat,92,283
cond-mat,93,829
cond-mat,94,1541
cond-mat,95,2200
cond-mat,96,2956
cond-mat,97,3877
cond-mat,98,5117
cond-mat,99,6007
cs,00,499
cs,01,603
cs,02,697
cs,03,862
cs,04,1017
cs,05,1374
cs,06,1884
cs,07,2833
cs,08,3612
cs,09,4871
cs,10,7561
cs,11,9142
cs,12,12247
cs,13,14906
cs,93,24
cs,94,251
cs,95,257
cs,96,238
cs,97,192
cs,98,332
cs,99,325
gr-qc,00,1967
gr-qc,01,2055
gr-qc,02,2205
gr-qc,03,2367
gr-qc,04,2580
gr-qc,05,2683
gr-qc,06,2845
gr-qc,07,3073
gr-qc,08,3046
gr-qc,09,3383
gr-qc,10,3914
gr-qc,11,4109
gr-qc,12,4083
gr-qc,13,4160
gr-qc,92,164
gr-qc,93,599
gr-qc,94,981
gr-qc,95,1095
gr-qc,96,1215
gr-qc,97,1413
gr-qc,98,1708
gr-qc,99,1888
hep-ex,00,1079
hep-ex,01,1203
hep-ex,02,1211
hep-ex,03,1175
hep-ex,04,1334
hep-ex,05,1266
hep-ex,06,1235
hep-ex,07,1275
hep-ex,08,1441
hep-ex,09,1514
hep-ex,10,1813
hep-ex,11,2658
hep-ex,12,2734
hep-ex,13,2518
hep-ex,94,96
hep-ex,95,202
hep-ex,96,275
hep-ex,97,490
hep-ex,98,638
hep-ex,99,936
hep-lat,00,777
hep-lat,01,794
hep-lat,02,809
hep-lat,03,820
hep-lat,04,787
hep-lat,05,861
hep-lat,06,727
hep-lat,07,820
hep-lat,08,744
hep-lat,09,795
hep-lat,10,948
hep-lat,11,998
hep-lat,12,1005
hep-lat,13,1090
hep-lat,92,383
hep-lat,93,480
hep-lat,94,591
hep-lat,95,589
hep-lat,96,731
hep-lat,97,715
hep-lat,98,868
hep-lat,99,801
hep-ph,00,5204
hep-ph,01,5356
hep-ph,02,5443
hep-ph,03,5180
hep-ph,04,5354
hep-ph,05,5164
hep-ph,06,5244
hep-ph,07,5365
hep-ph,08,5700
hep-ph,09,5606
hep-ph,10,6157
hep-ph,11,6717
hep-ph,12,6577
hep-ph,13,6792
hep-ph,92,855
hep-ph,93,1994
hep-ph,94,2898
hep-ph,95,3442
hep-ph,96,3937
hep-ph,97,4258
hep-ph,98,4719
hep-ph,99,5043
hep-th,00,4263
hep-th,01,4417
hep-th,02,4684
hep-th,03,4643
hep-th,04,4731
hep-th,05,4690
hep-th,06,4815
hep-th,07,5080
hep-th,08,5029
hep-th,09,5253
hep-th,10,5861
hep-th,11,5723
hep-th,12,5768
hep-th,13,5829
hep-th,91,302
hep-th,92,1519
hep-th,93,2418
hep-th,94,2978
hep-th,95,3094
hep-th,96,3425
hep-th,97,3651
hep-th,98,3892
hep-th,99,3899
math-ph,00,1139
math-ph,01,1190
math-ph,02,1451
math-ph,03,1535
math-ph,04,1735
math-ph,05,1895
math-ph,06,2047
math-ph,07,2436
math-ph,08,2541
math-ph,09,2784
math-ph,10,3653
math-ph,11,4083
math-ph,12,4379
math-ph,13,3936
math-ph,96,44
math-ph,97,214
math-ph,98,618
math-ph,99,940
math,00,4080
math,01,4360
math,02,5635
math,03,6645
math,04,8343
math,05,9990
math,06,11957
math,07,14202
math,08,15577
math,09,17600
math,10,21219
math,11,24208
math,12,27389
math,13,30137
math,92,436
math,93,900
math,94,952
math,95,1192
math,96,1421
math,97,1848
math,98,2697
math,99,3337
nlin,00,1058
nlin,01,1081
nlin,02,1132
nlin,03,1090
nlin,04,1124
nlin,05,1178
nlin,06,1260
nlin,07,1122
nlin,08,1139
nlin,09,1136
nlin,10,1432
nlin,11,1561
nlin,12,1727
nlin,13,1810
nlin,93,294
nlin,94,372
nlin,95,548
nlin,96,656
nlin,97,901
nlin,98,1094
nlin,99,1177
nucl-ex,00,328
nucl-ex,01,416
nucl-ex,02,503
nucl-ex,03,561
nucl-ex,04,700
nucl-ex,05,724
nucl-ex,06,673
nucl-ex,07,810
nucl-ex,08,787
nucl-ex,09,876
nucl-ex,10,935
nucl-ex,11,1258
nucl-ex,12,1380
nucl-ex,13,1308
nucl-ex,94,7
nucl-ex,95,46
nucl-ex,96,87
nucl-ex,97,125
nucl-ex,98,184
nucl-ex,99,600
nucl-th,00,1516
nucl-th,01,1469
nucl-th,02,1553
nucl-th,03,1682
nucl-th,04,1644
nucl-th,05,1606
nucl-th,06,1548
nucl-th,07,1661
nucl-th,08,1562
